Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
432,0.062195819,0.030894336,0.039503911,0.003795902,0.114967583,0.068075286,0.044916037,0.023612271,0.044172739,0.011404901,0.045103282,0.033977699,0.030746635,0.030296102,0.052356421,0.119176158,0.08125344,0.113261388,0.470935011,0.030535791
431,0.062316773,0.030957264,0.039586563,0.003799541,0.115132836,0.068293151,0.045080961,0.023648652,0.044195469,0.011420522,0.045251328,0.033937561,0.030789311,0.030378996,0.052451355,0.119335827,0.081462659,0.113884732,0.471163953,0.030612405
430,0.062437214,0.031019696,0.039669854,0.003803302,0.115298913,0.068512233,0.0452513,0.023685034,0.0442179,0.011436143,0.045402276,0.033896842,0.030833839,0.030464909,0.05254629,0.119495496,0.081668035,0.114517049,0.471401627,0.030689758
429,0.062557655,0.031082294,0.039754075,0.003807031,0.115468625,0.068738462,0.04542164,0.02372168,0.044238438,0.011451765,0.045554637,0.033853712,0.030879382,0.030551404,0.052641224,0.119660468,0.081877255,0.115161052,0.471602203,0.030766373
428,0.062678096,0.031145056,0.03983857,0.003810723,0.115630243,0.068966016,0.045589074,0.023757839,0.04425674,0.011468806,0.045708128,0.033812762,0.030923708,0.030639098,0.052736159,0.119821952,0.082084733,0.115811315,0.471785719,0.030842988
427,0.062798024,0.031207819,0.039923705,0.003814475,0.115796321,0.069194787,0.045761564,0.023793997,0.044276682,0.011484427,0.045863393,0.033771583,0.030969568,0.030727997,0.052831093,0.119974558,0.082298158,0.116468963,0.471960504,0.030921325
426,0.062917953,0.031270746,0.040009769,0.003818258,0.115962398,0.069424001,0.045936565,0.023830155,0.044296623,0.011500048,0.046020071,0.033727871,0.031015745,0.030818386,0.052926028,0.120136863,0.082507738,0.117135585,0.472135289,0.030999662
425,0.063037881,0.031334335,0.040096198,0.003822009,0.116128476,0.069654098,0.046111565,0.023866313,0.044316565,0.01151709,0.046176749,0.03368451,0.031061923,0.030909067,0.053020963,0.120308045,0.082723266,0.117813892,0.472310074,0.031078
424,0.063157297,0.031400012,0.040183267,0.003825868,0.116290095,0.069879151,0.046288716,0.023902248,0.044338103,0.011534131,0.046333143,0.033640568,0.031106885,0.031001238,0.053117796,0.120475738,0.082940895,0.118496119,0.472484859,0.031156652
423,0.063276713,0.031465689,0.0402707,0.003829727,0.116456172,0.070105088,0.046468771,0.023938672,0.044357747,0.011549752,0.046492724,0.033594565,0.03115338,0.03109552,0.053214629,0.120647827,0.083158525,0.119190032,0.472650912,0.031234989
422,0.063399612,0.031531092,0.040359063,0.003833585,0.11662225,0.070331909,0.046648827,0.023974872,0.044377391,0.011566793,0.046651945,0.033547981,0.031201208,0.031191001,0.053311462,0.120820823,0.08337726,0.119888618,0.472816965,0.031313996
421,0.063522511,0.031596495,0.04044805,0.003837466,0.116788327,0.070560389,0.046828883,0.024011072,0.044394799,0.011583835,0.046810881,0.033501821,0.031249035,0.031287971,0.053408296,0.1209983,0.083596992,0.120600849,0.472954652,0.031392333
420,0.063644898,0.031661898,0.040537966,0.0038414,0.116954404,0.070789753,0.047011449,0.02404745,0.044414145,0.011599456,0.046973005,0.033455212,0.031297181,0.031387053,0.053505129,0.121168713,0.083817829,0.121319341,0.473083608,0.031471655
419,0.063773948,0.031727301,0.040627882,0.003845281,0.117121306,0.071018674,0.047194015,0.024083827,0.044431597,0.011616497,0.047135129,0.033408385,0.031345644,0.031486427,0.053601962,0.121339127,0.084040769,0.122051858,0.473212563,0.031550977
418,0.063902484,0.031794792,0.040719077,0.003849252,0.117287384,0.071257727,0.047378731,0.024119981,0.044450645,0.011633539,0.047298382,0.033360541,0.031394107,0.031587291,0.053698796,0.121518418,0.084269655,0.122793721,0.473341519,0.031632021
417,0.064027537,0.03186421,0.040810546,0.003853208,0.117456797,0.071495896,0.047565599,0.024156135,0.044469694,0.01165058,0.047464538,0.033312043,0.03144257,0.031690558,0.053795629,0.121698616,0.084495694,0.123548857,0.473470474,0.031711658
416,0.064155562,0.031933627,0.04090267,0.003857202,0.11761924,0.071737158,0.047754976,0.024192289,0.04448655,0.011667621,0.047632107,0.033262574,0.031491668,0.031794117,0.053892462,0.121870843,0.084726683,0.124308666,0.47359943,0.031792702
