Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
517,0.001177443,0.002895377,0,0.020096488,0.06464328,0.008508602,0.290399103,0.316573616,0.163750955,0.01450804,0.166251705,0.195868154,0.00480237,0.040436983,0.66562431,0.526712191,0.424675832,1.97E-06,2.45E-06,1.56E-06
516,0.001459584,0.004327957,0,0.022149348,0.06645722,0.00884206,0.280731885,0.31358613,0.160022655,0.014384355,0.161951553,0.19119638,0.004685339,0.038519359,0.694750239,0.526770772,0.425351619,1.96E-06,2.44E-06,1.56E-06
515,0.001803863,0.005983003,0,0.024364449,0.068487421,0.00923205,0.271629919,0.310277091,0.156561296,0.014243466,0.157516574,0.186599855,0.004606025,0.036728515,0.71819908,0.526717364,0.426012381,1.96E-06,2.44E-06,1.56E-06
514,0.002184524,0.007968513,0,0.0267476,0.07056173,0.009694241,0.263183282,0.306705933,0.153388656,0.014084214,0.15305698,0.182088824,0.004493279,0.035019117,0.734774658,0.526828072,0.426586626,1.95E-06,2.42E-06,1.56E-06
513,0.002611865,0.010248304,0,0.029298845,0.072736698,0.010109447,0.255353958,0.302913546,0.150506337,0.013901285,0.148605262,0.177671675,0.004426643,0.033505115,0.744571907,0.526703218,0.427041189,1.94E-06,2.43E-06,1.57E-06
512,0.003102346,0.012925649,0,0.032041126,0.075074201,0.010603462,0.248137116,0.299037253,0.147906013,0.013700897,0.14429068,0.173384017,0.004406655,0.0320642,0.747742721,0.526604439,0.427563179,1.94E-06,2.42E-06,1.56E-06
511,0.003593843,0.015880759,0,0.03494699,0.077559143,0.011110369,0.241553651,0.295109655,0.145637189,0.01348526,0.140131777,0.169329364,0.004389001,0.030718844,0.745464292,0.526554525,0.428091881,1.93E-06,2.41E-06,1.57E-06
510,0.004150004,0.019134327,0,0.038029021,0.080156505,0.011703955,0.235573319,0.291281973,0.143658826,0.013250381,0.136200954,0.165336919,0.004389066,0.029432632,0.738894819,0.526505592,0.428598247,1.93E-06,2.39E-06,1.57E-06
509,0.00465895,0.022553031,0,0.041280174,0.082814503,0.01225621,0.230154969,0.287522945,0.141879662,0.012999267,0.132480516,0.161406,0.004413524,0.028260812,0.729382374,0.526452887,0.42939826,1.93E-06,2.40E-06,1.57E-06
508,0.005136957,0.026279011,0,0.044685381,0.085755583,0.012878458,0.225152504,0.283854783,0.14034643,0.012722319,0.129062917,0.157557635,0.00439849,0.027146786,0.717857316,0.526496591,0.430112005,1.92E-06,2.38E-06,1.57E-06
507,0.005695385,0.030284987,0,0.04825015,0.088759852,0.013504045,0.220650716,0.280309747,0.13907801,0.01243239,0.125916508,0.153903453,0.004456994,0.026106101,0.705591768,0.526394482,0.430753677,1.92E-06,2.37E-06,1.57E-06
506,0.006224998,0.034573259,0,0.051951501,0.091922139,0.014173527,0.216520327,0.276921788,0.137987868,0.012117733,0.123087409,0.150218707,0.004539232,0.025082021,0.693041417,0.526222601,0.431487369,1.92E-06,2.35E-06,1.57E-06
505,0.006874083,0.039180277,0,0.055782715,0.095284416,0.014851932,0.212676674,0.2736083,0.137103933,0.01179483,0.120569571,0.146648212,0.00462477,0.02419584,0.680908778,0.526258602,0.432185011,1.92E-06,2.36E-06,1.58E-06
504,0.007579428,0.044120126,0,0.059717025,0.098817153,0.015638469,0.209156719,0.270401074,0.13637023,0.011459068,0.118406953,0.143128791,0.004705913,0.023330745,0.66913689,0.526196589,0.432811658,1.91E-06,2.35E-06,1.58E-06
503,0.008332951,0.049402094,0,0.063739982,0.102301999,0.016492023,0.205865873,0.267292957,0.135791788,0.011109854,0.116517594,0.139651351,0.00491796,0.022584438,0.658162452,0.526090407,0.433324285,1.91E-06,2.33E-06,1.58E-06
502,0.009131481,0.05498919,0,0.067802912,0.106030077,0.017335289,0.202704865,0.264276764,0.135164401,0.010747181,0.114912999,0.136114721,0.005045685,0.021922089,0.647624714,0.526090623,0.43397794,1.90E-06,2.32E-06,1.58E-06
501,0.010273863,0.06094183,0,0.071926118,0.109928237,0.018303111,0.199641353,0.261287308,0.134642772,0.010375386,0.113579929,0.13264767,0.005152887,0.021257094,0.637523675,0.526231903,0.434599784,1.90E-06,2.31E-06,1.58E-06
500,0.011364826,0.067199294,0,0.076061148,0.113888744,0.019318756,0.196678631,0.258411796,0.134088739,0.009992076,0.112470811,0.129143295,0.005286157,0.020682158,0.62751757,0.526067379,0.435183771,1.89E-06,2.30E-06,1.58E-06
